month,orders,revenue
2016-06,1,630795.0
2016-07,395,153982902.0
2016-08,816,303353575.0
2016-09,1058,427522409.0
2016-10,1502,544857304.0
2016-11,1619,612642761.0
2016-12,1648,624677806.0
2017-01,2204,782840935.0
2017-02,2277,856911832.0
2017-03,2825,1091292024.0
2017-04,3152,1123980324.0
2017-05,3455,1323136836.0
2017-06,3360,1257202056.0
2017-07,4879,1822528220.0
2017-08,4799,1738767241.0
2017-09,5260,1922757787.0
2017-10,5777,2137375097.0
2017-11,5858,2201115908.0
2017-12,6325,2331619719.0
2018-01,6551,2355787186.0
2018-02,6417,2338103911.0
2018-03,7577,2763762251.0
2018-04,7877,2934785292.0
2018-05,8404,3087234706.0
2018-06,7853,2921599687.0
2018-07,10052,3667528699.0
2018-08,9939,3706222746.0
2018-09,9942,3600599306.0
2018-10,10759,4010556717.0
2018-11,10912,4039771036.0
2018-12,11506,4206284899.0
2019-01,11806,4396186789.0
2019-02,11048,4027221810.0
2019-03,12679,4593412750.0
2019-04,12729,4650859111.0
2019-05,13863,5103780990.0
2019-06,13402,4932352762.0
2019-07,15099,5627900350.0
2019-08,15639,5706087854.0
2019-09,15812,5799925419.0
2019-10,16125,5895959135.0
2019-11,16525,6089621161.0
2019-12,16745,6069306407.0
2020-01,17327,6410556435.0
2020-02,17640,6423847430.0
2020-03,19174,7174377650.0
2020-04,19001,7035634151.0
2020-05,19523,7206292455.0
2020-06,20086,7386975078.0
2020-07,22130,8064961563.0
2020-08,23025,8578476914.0
2020-09,22451,8345994706.0
2020-10,24310,8941942721.0
2020-11,24766,9192868888.0
2020-12,25550,9471934255.0
2021-01,26651,9845880667.0
2021-02,24691,9175985025.0
2021-03,28238,10498315637.0
2021-04,28150,10284513932.0
2021-05,29824,11103640742.0
2021-06,29043,10659666306.0
2021-07,32319,11878299621.0
2021-08,33803,12534739938.0
2021-09,33838,12524718687.0
2021-10,36294,13276631718.0
2021-11,36821,13695600113.0
2021-12,37755,13902332549.0
2022-01,39926,14735840777.0
2022-02,37163,13648721679.0
2022-03,42261,15646434700.0
2022-04,43205,15918800924.0
2022-05,44219,16230749832.0
2022-06,42025,15486574070.0
2022-07,36905,13692739487.0
