customer_id,recency,frequency,monetary,cluster
20171,185,8,3876962.0,0
17553,609,3,2031880.0,0
33382,42,29,22060248.0,1
7302,39,23,14312461.0,1
6267,135,11,4559261.0,0
31217,292,5,3796739.0,0
61382,293,5,1152177.0,0
37191,65,28,17285932.0,1
85019,238,6,1161461.0,0
69239,207,9,3861281.0,0
58984,80,25,17008357.0,1
60555,148,5,1732161.0,0
92509,27,29,11968998.0,1
52477,378,2,868138.0,0
79619,17,38,19798204.0,1
68338,21,53,16376774.0,1
84341,7,96,53699196.0,4
38684,457,10,6444479.0,0
68475,63,44,21830039.0,1
55866,186,6,3308646.0,0
60910,27,47,23216883.0,1
99959,41,8,3453146.0,0
26129,55,41,21885051.0,1
16102,24,44,24096398.0,1
30234,247,7,2888618.0,0
51826,18,51,24504756.0,1
27763,57,30,12992934.0,1
77908,48,18,8759571.0,0
23704,35,19,9511308.0,0
36941,142,10,2776535.0,0
96235,226,7,2086971.0,0
6287,56,22,7770574.0,0
57360,423,5,2176752.0,0
12589,2121,1,277491.0,3
82540,50,52,22117915.0,1
7574,66,23,6926161.0,0
71231,42,28,17456732.0,1
86375,74,21,16260853.0,1
3228,11,72,35216253.0,4
50989,57,17,6363687.0,0
13514,104,179,91660536.0,2
72706,72,5,1739161.0,0
44301,69,36,20637241.0,1
57801,23,30,9539030.0,1
81961,31,29,8530924.0,1
94964,58,13,3878992.0,0
35130,25,27,16981969.0,1
98366,9,36,19781013.0,1
80547,12,33,35869272.0,1
76018,127,14,7388873.0,0
5882,83,14,7390714.0,0
94695,50,19,14329159.0,1
77919,1232,1,342190.0,3
98034,319,4,1122015.0,0
83582,256,9,2959495.0,0
4034,358,5,1418588.0,0
92612,259,8,3004862.0,0
14750,113,8,4622538.0,0
91827,43,19,9825682.0,0
76833,48,21,8779896.0,0
71509,650,2,427025.0,0
55413,101,12,16182182.0,1
57767,491,4,1815544.0,0
3755,35,25,15801297.0,1
22096,15,44,21369394.0,1
58524,64,26,8692161.0,1
87120,10,118,69337781.0,4
22331,155,23,15995933.0,1
25331,38,43,20256070.0,1
21189,34,41,22732287.0,1
78779,316,4,1143489.0,0
37489,1553,1,59484.0,3
95451,80,16,6561463.0,0
67395,38,34,11435929.0,1
62490,263,8,2588089.0,0
20021,58,26,20649184.0,1
64224,903,1,754042.0,3
99856,597,3,848063.0,0
80779,388,3,659983.0,0
48992,108,11,3211269.0,0
19158,28,12,5545862.0,0
12177,130,3,815983.0,0
32417,29,11,5233726.0,0
87909,221,5,1839013.0,0
93347,55,30,10019803.0,1
39643,4,144,81954371.0,4
86059,96,22,9730567.0,1
99680,68,159,84896472.0,2
81098,31,32,17889779.0,1
4776,215,7,6927989.0,0
86541,16,50,30843081.0,1
3695,108,19,8649611.0,0
14523,71,13,10562168.0,0
88092,3,107,67444468.0,4
18113,385,1,126020.0,0
71084,0,171,78755042.0,2
26872,39,30,20177957.0,1
74012,28,42,30752220.0,1
12569,91,16,10793986.0,0
13818,352,5,1876955.0,0
70887,706,3,876852.0,0
25877,36,110,55642507.0,4
62852,35,34,17695526.0,1
94257,82,17,6883466.0,0
99454,56,17,4910129.0,0
38069,52,37,21254873.0,1
46917,80,18,10031069.0,0
24983,27,34,20909040.0,1
28487,32,20,12548973.0,1
21591,207,3,533281.0,0
8126,79,24,7647106.0,0
84467,1904,1,159854.0,3
67453,250,4,2108719.0,0
64336,165,6,1177966.0,0
93858,20,69,41287603.0,4
44049,46,8,5489143.0,0
94545,29,12,9881855.0,0
88932,180,7,3299524.0,0
58593,47,58,39412813.0,4
65716,30,16,5679411.0,0
77571,89,7,4477751.0,0
80741,4,42,24464846.0,1
43047,16,25,13046784.0,1
19179,13,51,41207360.0,4
43852,47,23,12413368.0,1
78792,67,23,14074864.0,1
