product_id,productDisplayName,masterCategory,revenue,units
13992,Puma Women Body Train Grey Sports Shoes,Footwear,33885804.0,109
16804,ANT Kids Girls Printed White Dress,Apparel,31861490.0,87
8237,Fastrack Women Blue Sling Bag,Accessories,29217830.0,75
51528,Fastrack Men Grey Dial Watch NB3001SL02,Accessories,29154543.0,86
30801,Fabindia Men Striped Beige Shirt,Apparel,28983028.0,86
26784,Reebok Men Reeplay Perfume & Deodorant Set,Personal Care,28975010.0,69
43879,Puma Men Beige Terrae Mid Africa Shoes,Footwear,28235313.0,76
17282,U.S. Polo Assn. Men Printed Black Tshirt,Apparel,28051960.0,94
24574,Lee Men Neo Blue Polo T-shirt,Apparel,27846106.0,71
50321,Aurelia Women Black Kurti,Apparel,26654670.0,85
23954,Provogue Men Printed Navy Blue Shirt,Apparel,26653934.0,88
46991,Shree Women Green & Maroon  Embroidered Kurta,Apparel,26499853.0,90
2045,ADIDAS Mens Multi Black T-shirt,Apparel,26479920.0,114
42953,French Connection Men Black Leather Belt,Accessories,26345193.0,98
28066,Jockey ELANCE Mens Grey Melange Trunks 1015,Apparel,26315182.0,91
49568,Spice Art Women Red Handbag,Accessories,26126584.0,76
33716,Pieces Women Black Handbag,Accessories,25669703.0,89
47162,Peter England Men Brown Belt,Accessories,25628608.0,90
14873,United Colors of Benetton Women Printed Purple Umbrellas,Accessories,25597182.0,84
33632,Lino Perros Women Blue Handbag,Accessories,25510624.0,61
